index,link_id,link_type,diameter,length,n_exp,C,status,node_out,node_in
1,1,pipe,0.457,606.0,1.852,110.0,Open,23,1
2,2,pipe,0.457,454.0,1.852,110.0,Open,23,24
3,3,pipe,0.229,2782.0,1.852,105.0,Open,24,14
4,4,pipe,0.381,304.0,1.852,135.0,Open,25,14
5,5,pipe,0.305,3383.0,1.852,100.0,Open,10,24
6,6,pipe,0.47500000000000003,1767.0,1.852,110.0,Open,13,24
7,7,pipe,0.381,1014.0,1.852,135.0,Open,14,13
8,8,pipe,0.381,1097.0,1.852,6.0,Open,16,25
9,9,pipe,0.457,1930.0,1.852,110.0,Open,2,1
10,10,pipe,0.305,5150.0,1.852,10.0,Open,3,2
11,11,pipe,0.457,762.0,1.852,110.0,Open,12,13
12,12,pipe,0.229,914.0,1.852,125.0,Open,15,16
13,13,pipe,0.305,822.0,1.852,140.0,Open,17,16
14,14,pipe,0.152,411.0,1.852,100.0,Open,18,17
15,15,pipe,0.229,701.0,1.852,110.0,Open,20,18
16,16,pipe,0.229,1072.0,1.852,135.0,Open,19,17
17,17,pipe,0.152,864.0,1.852,90.0,Open,20,19
18,18,pipe,0.152,711.0,1.852,90.0,Open,21,20
19,19,pipe,0.152,832.0,1.852,90.0,Open,21,15
20,20,pipe,0.152,2334.0,1.852,100.0,Open,22,15
21,21,pipe,0.229,1996.0,1.852,95.0,Open,12,15
22,22,pipe,0.229,777.0,1.852,90.0,Open,11,12
23,23,pipe,0.229,542.0,1.852,90.0,Open,10,11
24,24,pipe,0.457,1600.0,1.852,110.0,Open,8,12
25,25,pipe,0.305,249.0,1.852,105.0,Open,8,10
26,26,pipe,0.229,443.0,1.852,90.0,Open,9,8
27,27,pipe,0.381,743.0,1.852,110.0,Open,6,8
28,28,pipe,0.229,931.0,1.852,125.0,Open,22,8
29,29,pipe,0.152,2689.0,1.852,100.0,Open,22,21
30,30,pipe,0.152,326.0,1.852,100.0,Open,4,3
31,31,pipe,0.229,844.0,1.852,110.0,Open,5,4
32,32,pipe,0.152,1274.0,1.852,100.0,Open,6,3
33,33,pipe,0.229,1115.0,1.852,90.0,Open,5,6
34,34,pipe,0.381,615.0,1.852,110.0,Open,7,6
35,35,pipe,0.152,1408.0,1.852,100.0,Open,5,22
36,36,pipe,0.381,500.0,1.852,110.0,Open,5,7
37,37,pipe,0.229,300.0,1.852,90.0,Open,6,9
