index,node_id,node_type,elev,xcoord,ycoord
1,1,junction,18.0,-1316.05,9001.96
2,2,junction,18.0,-552.84,9001.96
3,3,junction,14.0,357.14,9001.96
4,4,junction,12.0,1149.71,9001.96
5,5,junction,14.0,2040.12,9001.96
6,6,junction,15.0,944.23,8297.46
7,7,junction,14.5,1624.27,8297.46
8,8,junction,14.0,63.6,7612.52
9,9,junction,14.0,944.23,7612.52
10,10,junction,15.0,-1032.29,7465.75
11,11,junction,12.0,-1032.29,6917.81
12,12,junction,15.0,-621.33,6575.34
13,13,junction,23.0,-1296.48,6575.34
14,14,junction,20.0,-2128.18,6262.23
15,15,junction,8.0,-621.33,6330.72
16,16,junction,10.0,-1276.91,5782.78
17,17,junction,7.0,-670.25,5782.78
18,18,junction,8.0,-44.03,5479.45
19,19,junction,10.0,-63.6,5782.78
20,20,junction,7.0,484.34,5782.78
21,21,junction,10.0,865.95,5782.78
22,22,junction,15.0,2040.12,5782.78
23,23,reservoir,0,-2128.18,9001.96
24,24,reservoir,0,-2128.18,7465.75
25,25,reservoir,0,-2128.18,5782.78
